Designator,Mid X,Mid Y,Rotation,Layer
SW1_2,187.325,-127.396875,0.0,top
SW1,196.85,-89.296875,0.0,top
SW2_2,177.8,-98.821875,270.0,bottom
SW2,196.85,-108.346875,0.0,bottom
SW8_2,189.185001,-126.506875,90.0,bottom
SW8,182.185001,-126.726875,0.0,bottom
