Designator,Mid X,Mid Y,Rotation,Layer
_4,159.54373,-86.121895,0.0,top
_3,159.543729,-116.284355,0.0,top
_2,129.38127,-86.121894,0.0,top
,129.381269,-116.284354,0.0,top
